day,time,snsr_11,snsr_12,snsr_21,snsr_22
0,00:03:33.66,0.8,2.3,1.15,0.23
0,00:03:33.69,1.03,2.3,1.95,0.46
0,00:03:33.71,0.69,2.99,1.61,0.8
0,00:03:33.73,0.8,3.1,1.49,0.23
0,00:03:33.75,0.57,3.1,1.15,1.03
0,00:03:33.77,1.26,3.22,1.03,0.69
0,00:03:33.79,1.15,2.76,1.15,1.03
0,00:03:33.81,1.26,2.18,0.69,1.26
0,00:03:33.83,1.84,1.38,0.57,1.38
0,00:03:33.85,1.26,2.07,0.69,1.49
0,00:03:33.88,0.92,2.07,1.49,1.72
0,00:03:33.90,0.92,2.07,1.72,1.72
0,00:03:33.92,1.15,1.95,1.72,0.92
0,00:03:33.94,0.92,2.64,1.95,1.15
0,00:03:33.96,0.92,2.76,1.38,0.46
0,00:03:33.98,0.8,2.64,1.49,0.8
0,00:03:34.00,1.03,2.76,1.26,0.57
0,00:03:34.02,1.38,2.64,1.38,0.92
0,00:03:34.04,1.03,2.76,1.26,0.69
0,00:03:34.06,0.69,2.53,1.15,0.92
0,00:03:34.08,1.61,1.84,1.15,1.15
0,00:03:34.11,1.61,2.18,0.69,1.72
0,00:03:34.13,1.84,2.3,1.03,1.49
0,00:03:34.15,1.84,1.95,1.61,1.84
0,00:03:34.17,1.26,2.41,1.03,1.84
0,00:03:34.19,1.26,2.76,1.61,1.49
0,00:03:34.21,1.15,2.76,1.61,1.03
0,00:03:34.23,1.15,2.64,1.72,0.57
0,00:03:34.25,0.8,2.99,1.61,0
0,00:03:34.28,0.69,2.64,1.84,0.8
0,00:03:34.30,0.8,2.18,1.61,0.46
0,00:03:34.32,1.49,1.72,0.57,1.49
0,00:03:34.34,0.92,1.38,0.46,1.72
0,00:03:34.36,0.92,1.95,0.69,0.92
0,00:03:34.38,0.57,2.3,0,0.57
0,00:03:34.40,-0.23,2.87,-0.8,-0.23
0,00:03:34.42,0.34,2.87,-5.06,-0.23
0,00:03:34.44,-0.23,1.61,72.53,0
0,00:03:34.46,-204.73,37.93,40.92,0
0,00:03:34.48,22.65,-208.4,68.74,0.11
0,00:03:34.50,21.61,3.79,45.52,0.23
0,00:03:34.52,-0.8,-8.05,-16.09,0.23
0,00:03:34.54,39.77,41.84,-32.99,0
0,00:03:34.57,-6.78,-53.22,-5.86,0.23
0,00:03:34.59,-7.01,67.82,-22.99,0
0,00:03:34.61,37.7,20.81,27.01,0.11
0,00:03:34.63,4.83,-0.8,-3.1,0.11
0,00:03:34.65,-1.38,-3.45,-4.37,0.11
0,00:03:34.67,4.02,1.49,-2.99,0.11
0,00:03:34.69,2.07,-0.69,-4.14,0.23
0,00:03:34.71,1.38,-0.92,-2.41,0.11
0,00:03:34.74,2.99,-2.53,-7.36,0.11
0,00:03:34.76,-0.8,3.68,-1.26,0.11
0,00:03:34.78,-2.76,3.1,1.15,0.11
0,00:03:34.80,0.46,5.17,17.36,0.23
0,00:03:34.82,-1.38,1.49,3.45,0.11
0,00:03:34.84,-2.41,-1.49,-1.84,0
0,00:03:34.86,-2.87,-4.37,-3.22,0.11
0,00:03:34.88,-2.3,-24.25,6.55,0.23
0,00:03:34.90,-0.69,6.09,21.84,0.11
0,00:03:34.92,-38.62,5.06,-60.58,0.11
0,00:03:34.94,1.61,1.49,-4.94,0.11
0,00:03:34.97,1.84,2.76,-4.37,0.11
0,00:03:34.99,-1.95,-4.37,-0.69,0
0,00:03:35.01,1.95,0.46,2.41,0.11
0,00:03:35.03,-0.11,1.38,-0.11,0.23
0,00:03:35.05,-1.49,4.71,0,0.11
0,00:03:35.07,0.23,2.99,0.46,0.11
0,00:03:35.09,-0.69,2.87,0.57,0.23
0,00:03:35.11,0.92,4.37,0.92,0.11
0,00:03:35.13,1.72,3.45,1.15,0.23
0,00:03:35.16,2.53,3.45,1.72,0.11
